player_name,avg_runs_in_wins,innings_played
Rashid Khan,6.0,1
Shahid Afridi,3.3333333333333335,6
AN Ahmed,3.0,3
BA Bhatt,3.0,2
SN Khan,2.5789473684210527,19
SP Jackson,2.4,5
Harmeet Singh,2.3333333333333335,6
Umar Gul,2.3076923076923075,13
SM Pollock,2.2,15
MS Gony,2.1379310344827585,29
MJ McClenaghan,2.0,11
DS Kulkarni,2.0,3
PR Shah,2.0,4
Shivam Sharma,2.0,2
VRV Singh,2.0,2
RS Sodhi,2.0,2
CR Brathwaite,1.9642857142857142,28
CH Morris,1.9607843137254901,51
BCJ Cutting,1.934782608695652,46
PJ Cummins,1.88,25
R Tewatia,1.875,8
GJ Maxwell,1.8548387096774193,434
SP Narine,1.8522727272727273,88
CA Lynn,1.8376068376068375,117
LJ Wright,1.8181818181818181,22
KK Cooper,1.8148148148148149,27
AUK Pathan,1.7777777777777777,9
Bipul Sharma,1.775,40
TG Southee,1.75,4
AD Russell,1.7142857142857142,147
HH Pandya,1.695364238410596,151
A Flintoff,1.6923076923076923,13
V Sehwag,1.6907894736842106,1064
CJ Anderson,1.6896551724137931,145
RR Pant,1.6869158878504673,214
J Suchith,1.6666666666666667,6
JA Morkel,1.6650717703349283,209
P Negi,1.6585365853658536,41
ST Jayasuriya,1.6453900709219857,282
DJ Hooda,1.644736842105263,152
CH Gayle,1.6428571428571428,1442
JC Buttler,1.641350210970464,237
JP Faulkner,1.625,136
SB Jakati,1.625,8
MJ Lumb,1.621212121212121,132
Harbhajan Singh,1.6136363636363635,176
MF Maharoof,1.606060606060606,33
AB de Villiers,1.6052227342549923,1302
AC Blizzard,1.5932203389830508,59
S Vidyut,1.588235294117647,34
KA Pollard,1.5715800636267232,943
AC Voges,1.5692307692307692,65
A Mishra,1.5625,64
Sunny Singh,1.5625,16
DA Warner,1.562062380649268,1571
YK Pathan,1.5617173524150267,1118
AP Tare,1.5596330275229358,109
DA Miller,1.5568760611205432,589
KH Pandya,1.5567567567567568,185
AC Gilchrist,1.546195652173913,736
KM Jadhav,1.5459770114942528,174
AD Mathews,1.5333333333333334,135
OA Shah,1.5130434782608695,115
RN ten Doeschate,1.5056179775280898,89
SR Watson,1.5038022813688212,1052
Shoaib Malik,1.5,4
SJ Srivastava,1.5,2
UT Yadav,1.5,6
B Akhil,1.5,30
R Rampaul,1.5,8
SW Billings,1.4943820224719102,89
MS Dhoni,1.4942837928715536,1487
PP Chawla,1.4932432432432432,148
SP Fleming,1.4918032786885247,61
LA Pomersbach,1.4850746268656716,134
JR Hopes,1.4835164835164836,91
KP Pietersen,1.4829545454545454,352
AJ Finch,1.4744525547445255,548
BA Stokes,1.4609929078014185,141
RJ Harris,1.4583333333333333,24
AB McDonald,1.4583333333333333,48
M Vohra,1.4548286604361371,321
S Chanderpaul,1.4545454545454546,11
PD Collingwood,1.4545454545454546,99
TM Head,1.4545454545454546,33
PC Valthaty,1.4522821576763485,241
SPD Smith,1.45010183299389,491
DH Yagnik,1.45,40
AS Raut,1.45,40
Kamran Akmal,1.4492753623188406,69
Azhar Mahmood,1.4444444444444444,162
RA Tripathi,1.4423076923076923,208
DJ Bravo,1.4395886889460154,389
BJ Rohrer,1.4375,16
BJ Hodge,1.4373576309794989,439
A Ashish Reddy,1.435897435897436,78
HV Patel,1.4285714285714286,7
SA Yadav,1.4272300469483568,213
SK Raina,1.4242723236309818,2027
NLTC Perera,1.4128440366972477,109
AR Patel,1.412121212121212,165
EJG Morgan,1.4115226337448559,243
WP Saha,1.41010101010101,495
M Kartik,1.4090909090909092,22
DB Ravi Teja,1.408450704225352,71
DR Smith,1.4073059360730593,1095
S Anirudha,1.4022988505747127,87
R Bhatia,1.4,50
SS Iyer,1.4,330
RV Uthappa,1.3964886613021215,1367
MV Boucher,1.3936170212765957,94
V Shankar,1.3928571428571428,56
A Symonds,1.3905817174515236,361
KS Williamson,1.39,200
BB McCullum,1.3884034948371724,1259
SA Asnodkar,1.3872549019607843,204
J Syed Mohammad,1.3846153846153846,13
V Kohli,1.3827667057444315,1706
Yuvraj Singh,1.3751600512163893,781
GJ Bailey,1.3692307692307693,195
