player_name,avg_runs_per_ball,total_wickets
SMSM Senanayake,0.8492063492063492,126
SP Narine,0.929718875502008,498
GD McGrath,0.9324324324324325,222
SL Malinga,0.9407630522088354,996
Sohail Tanvir,0.946969696969697,132
A Chandila,0.9513888888888888,144
DP Nannes,0.9532163742690059,342
B Kumar,0.9561487130600572,1049
BW Hilfenhaus,0.9625,240
R Rampaul,0.9629629629629629,162
DW Steyn,0.9700374531835206,1068
R Ashwin,0.9729344729344729,702
SM Pollock,1.0049019607843137,204
Ankit Sharma,1.0072463768115942,138
RJ Harris,1.0093896713615023,426
WPUJC Vaas,1.0151515151515151,198
AC Thomas,1.0277777777777777,180
Iqbal Abdulla,1.0326086956521738,276
M Muralitharan,1.0337837837837838,148
AA Chavan,1.0416666666666667,144
AD Russell,1.046875,192
P Kumar,1.0528325907065563,1571
A Singh,1.053030303030303,264
M Ntini,1.0576923076923077,156
MA Starc,1.0578231292517006,294
PP Chawla,1.064516129032258,155
WD Parnell,1.0666666666666667,270
Azhar Mahmood,1.0694444444444444,144
YK Pathan,1.0706214689265536,354
Z Khan,1.0743034055727554,1292
Harbhajan Singh,1.0805860805860805,546
SW Tait,1.0921052631578947,228
KW Richardson,1.0925925925925926,162
B Lee,1.0946502057613168,486
SR Watson,1.0951760104302477,767
JJ Bumrah,1.096774193548387,341
L Balaji,1.1022222222222222,450
Sandeep Sharma,1.1035353535353536,792
M Morkel,1.1059602649006623,906
M Kartik,1.111731843575419,179
JP Duminy,1.1133333333333333,150
IK Pathan,1.1154684095860568,918
IC Pandey,1.1174242424242424,264
NM CoulterNile,1.1180555555555556,288
I Sharma,1.1231231231231231,999
DE Bollinger,1.126543209876543,324
RP Singh,1.129740518962076,1002
MM Patel,1.1347626339969372,653
S Sreesanth,1.1403508771929824,570
AB Dinda,1.1444444444444444,810
R Vinay Kumar,1.1518817204301075,744
Anureet Singh,1.154320987654321,162
CH Morris,1.1544117647058822,408
DS Kulkarni,1.1578249336870026,754
JD Unadkat,1.1640625,384
KV Sharma,1.1730769230769231,156
JH Kallis,1.176356589147287,516
TA Boult,1.1785714285714286,168
S Nadeem,1.1805555555555556,216
AN Ahmed,1.181159420289855,138
MF Maharoof,1.1845238095238095,168
S Badree,1.185897435897436,156
RR Powar,1.1893939393939394,132
VS Malik,1.1904761904761905,126
MG Johnson,1.1934369602763386,579
A Nehra,1.2049405306495884,1093
TG Southee,1.2083333333333333,360
NLTC Perera,1.211111111111111,180
S Aravind,1.2112676056338028,426
Shakib Al Hasan,1.2127659574468086,282
AD Mascarenhas,1.2142857142857142,168
AR Patel,1.2160493827160495,162
DT Christian,1.2261904761904763,168
UT Yadav,1.2311827956989247,744
STR Binny,1.2318840579710144,138
MJ McClenaghan,1.2377777777777779,450
Pankaj Singh,1.2533333333333334,150
JP Faulkner,1.256064690026954,371
DJ Bravo,1.2571428571428571,210
S Kaul,1.2654320987654322,162
J Botha,1.2760416666666667,192
MM Sharma,1.2844827586206897,696
P Awana,1.2851851851851852,270
S Tyagi,1.2976190476190477,168
PP Ojha,1.3083333333333333,240
VR Aaron,1.3194444444444444,288
JA Morkel,1.3444444444444446,900
R McLaren,1.36,150
PJ Sangwan,1.3722397476340693,317
HV Patel,1.375,192
Mohammed Shami,1.3942307692307692,312
BB Sran,1.4027777777777777,144
MC Henriques,1.4104046242774566,173
SK Trivedi,1.4206349206349207,126
MS Gony,1.4218106995884774,486
AD Mathews,1.4285714285714286,126
SJ Srivastava,1.446969696969697,132
AB Agarkar,1.5,180
YS Chahal,1.505952380952381,168
PJ Cummins,1.5158730158730158,126
