player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,batting_style
0,1,SC Ganguly,1972-07-08,Left-hand bat,Right-arm medium,India,Left-Handed
1,2,BB McCullum,1981-09-27,Right-hand bat,Right-arm medium,New Zealand,Right-Handed
2,3,RT Ponting,1974-12-19,Right-hand bat,Right-arm medium,Australia,Right-Handed
3,4,DJ Hussey,1977-07-15,Right-hand bat,Right-arm offbreak,Australia,Right-Handed
4,5,Mohammad Hafeez,1980-10-17,Right-hand bat,Right-arm offbreak,Pakistan,Right-Handed
5,6,R Dravid,1973-01-11,Right-hand bat,Right-arm offbreak,India,Right-Handed
6,7,W Jaffer,1978-02-16,Right-hand bat,Right-arm offbreak,India,Right-Handed
7,8,V Kohli,1988-11-05,Right-hand bat,Right-arm medium,India,Right-Handed
8,9,JH Kallis,1975-10-16,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
9,10,CL White,1983-08-18,Right-hand bat,Legbreak googly,Australia,Right-Handed
10,11,MV Boucher,1976-12-03,Right-hand bat,Right-arm medium,South Africa,Right-Handed
11,12,B Akhil,1977-10-07,Right-hand bat,Right-arm medium-fast,India,Right-Handed
12,13,AA Noffke,1977-04-30,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
13,14,P Kumar,1986-10-02,Right-hand bat,Right-arm medium,India,Right-Handed
14,15,Z Khan,1978-10-07,Right-hand bat,Left-arm fast-medium,India,Right-Handed
15,16,SB Joshi,1970-06-06,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
16,17,PA Patel,1985-03-09,Left-hand bat,N/A,India,Left-Handed
17,18,ML Hayden,1971-10-29,Left-hand bat,Right-arm medium,Australia,Left-Handed
18,19,MEK Hussey,1975-05-27,Left-hand bat,Right-arm medium,Australia,Left-Handed
19,20,MS Dhoni,1981-07-07,Right-hand bat,Right-arm medium,India,Right-Handed
20,21,SK Raina,1986-11-27,Left-hand bat,Right-arm offbreak,India,Left-Handed
21,22,JDP Oram,1978-07-28,Left-hand bat,Right-arm fast-medium,New Zealand,Left-Handed
22,23,S Badrinath,1980-08-30,Right-hand bat,Right-arm offbreak,India,Right-Handed
23,24,K Goel,1986-12-24,Left-hand bat,Right-arm offbreak,India,Left-Handed
24,25,JR Hopes,1978-10-24,Right-hand bat,Right-arm medium,Australia,Right-Handed
25,26,KC Sangakkara,1977-10-27,Left-hand bat,Right-arm offbreak,Sri Lanka,Left-Handed
26,27,Yuvraj Singh,1981-12-12,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
27,28,SM Katich,1975-08-21,Left-hand bat,Slow left-arm chinaman,Australia,Left-Handed
28,29,IK Pathan,1984-10-27,Left-hand bat,Left-arm medium-fast,India,Left-Handed
29,30,T Kohli,1988-12-17,Right-hand bat,Right-arm medium,India,Right-Handed
30,31,YK Pathan,1982-11-17,Right-hand bat,Right-arm offbreak,India,Right-Handed
31,32,SR Watson,1981-06-17,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
32,33,M Kaif,1980-12-01,Right-hand bat,Right-arm offbreak,India,Right-Handed
33,34,DS Lehmann,1970-02-05,Left-hand bat,Slow left-arm orthodox,Australia,Left-Handed
34,35,RA Jadeja,1988-12-06,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
35,36,M Rawat,1985-10-25,Right-hand bat,N/A,India,Right-Handed
36,37,D Salunkhe,1982-11-12,Right-hand bat,Legbreak,India,Right-Handed
