venue_name,average_score,highest_score
Brabourne Stadium,325.8181818181818,399
Saurashtra Cricket Association Stadium,319.1,393
"Punjab Cricket Association IS Bindra Stadium, Mohali",317.42857142857144,341
Barabati Stadium,311.57142857142856,404
Green Park,308.0,378
Maharashtra Cricket Association Stadium,302.06666666666666,377
Rajiv Gandhi International Stadium Uppal,302.0,365
Himachal Pradesh Cricket Association Stadium,301.1111111111111,371
"MA Chidambaram Stadium, Chepauk",299.7291666666667,447
"Sardar Patel Stadium, Motera",298.0,377
"Punjab Cricket Association Stadium, Mohali",296.77142857142854,426
Wankhede Stadium,296.4736842105263,419
Holkar Cricket Stadium,296.2,371
Punjab Cricket Association IS Bindra Stadium Mohali,296.0,380
M Chinnaswamy Stadium,292.7878787878788,387
Feroz Shah Kotla,290.46666666666664,408
Sharjah Cricket Stadium,286.1666666666667,365
De Beers Diamond Oval,285.0,319
"Rajiv Gandhi International Stadium, Uppal",284.4146341463415,417
SuperSport Park,284.1666666666667,348
Eden Gardens,279.8688524590164,386
JSCA International Stadium Complex,279.2857142857143,361
Sawai Mansingh Stadium,278.1212121212121,374
Shaheed Veer Narayan Singh International Stadium,277.1666666666667,312
Dubai International Cricket Stadium,276.42857142857144,352
"Vidarbha Cricket Association Stadium, Jamtha",272.3333333333333,290
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,272.27272727272725,333
St George's Park,271.7142857142857,290
Kingsmead,270.6666666666667,353
New Wanderers Stadium,270.0,303
Subrata Roy Sahara Stadium,264.2352941176471,339
Dr DY Patil Sports Academy,262.6470588235294,355
Sheikh Zayed Stadium,261.7142857142857,390
Nehru Stadium,255.4,291
Buffalo Park,246.66666666666666,265
Newlands,239.71428571428572,328
OUTsurance Oval,238.0,261
