player_name,season_year,total_runs
SE Marsh,2008,614
G Gambhir,2008,532
ST Jayasuriya,2008,508
SR Watson,2008,463
GC Smith,2008,437
AC Gilchrist,2008,431
YK Pathan,2008,430
SK Raina,2008,420
MS Dhoni,2008,414
V Sehwag,2008,399
RG Sharma,2008,399
R Dravid,2008,370
SC Ganguly,2008,349
S Dhawan,2008,340
KC Sangakkara,2008,319
DJ Hussey,2008,318
RV Uthappa,2008,316
SA Asnodkar,2008,311
Yuvraj Singh,2008,299
PA Patel,2008,297
Y Venugopal Rao,2008,283
JA Morkel,2008,235
MV Boucher,2008,225
JR Hopes,2008,221
AM Nayar,2008,205
JH Kallis,2008,199
Salman Butt,2008,192
SP Fleming,2008,192
S Badrinath,2008,192
SR Tendulkar,2008,188
BB McCullum,2008,188
DPMD Jayawardene,2008,179
ML Hayden,2008,179
M Kaif,2008,176
DJ Bravo,2008,175
MEK Hussey,2008,168
HH Gibbs,2008,167
V Kohli,2008,165
A Symonds,2008,161
WP Saha,2008,159
LR Shukla,2008,157
VVS Laxman,2008,155
LA Pomersbach,2008,152
LRPL Taylor,2008,149
SM Pollock,2008,147
KD Karthik,2008,145
S Vidyut,2008,145
RA Jadeja,2008,134
IK Pathan,2008,130
MF Maharoof,2008,125
Kamran Akmal,2008,124
MisbahulHaq,2008,117
W Jaffer,2008,115
SB Styris,2008,112
P Kumar,2008,112
CL White,2008,109
DB Ravi Teja,2008,108
MK Tiwary,2008,104
DB Das,2008,103
NK Patel,2008,103
TM Dilshan,2008,102
AB de Villiers,2008,95
SM Katich,2008,95
PP Chawla,2008,89
SP Goswami,2008,82
Shahid Afridi,2008,81
K Goel,2008,76
RR Sarwan,2008,73
SK Warne,2008,69
YV Takawale,2008,69
Mohammad Hafeez,2008,64
AB Agarkar,2008,54
Shoaib Malik,2008,51
UT Yadav,2008,49
SB Bangar,2008,47
B Akhil,2008,46
DR Smith,2008,45
A Chopra,2008,42
LPC Silva,2008,40
DJ Thornely,2008,39
RT Ponting,2008,39
Umar Gul,2008,39
A Mishra,2008,37
Sohail Tanvir,2008,35
MS Gony,2008,35
L Ronchi,2008,34
R Bhatia,2008,34
M Rawat,2008,34
D Salunkhe,2008,33
Z Khan,2008,33
PR Shah,2008,32
T Taibu,2008,31
Harbhajan Singh,2008,30
M Kartik,2008,30
RR Powar,2008,28
RP Singh,2008,27
SS Tiwary,2008,26
WA Mota,2008,26
S Chanderpaul,2008,25
R Vinay Kumar,2008,25
MA Khote,2008,24
J Arunkumar,2008,23
B Chipli,2008,20
JDP Oram,2008,18
DS Lehmann,2008,18
B Lee,2008,17
CK Kapugedera,2008,16
Joginder Sharma,2008,16
VY Mahesh,2008,15
WPUJC Vaas,2008,15
DT Patil,2008,13
A Kumble,2008,13
SD Chitnis,2008,12
BJ Hodge,2008,12
DNT Zoysa,2008,11
I Sharma,2008,11
M Ntini,2008,11
T Kohli,2008,10
AD Mascarenhas,2008,9
AA Noffke,2008,9
RR Raje,2008,8
TM Srivastava,2008,8
SB Joshi,2008,6
Pankaj Singh,2008,5
SK Trivedi,2008,5
AM Rahane,2008,4
GD McGrath,2008,4
S Sohal,2008,4
VRV Singh,2008,4
Mohammad Asif,2008,3
MK Pandey,2008,3
D Kalyankrishna,2008,3
Younis Khan,2008,3
PJ Sangwan,2008,2
DS Kulkarni,2008,2
CRD Fernando,2008,2
A Nehra,2008,2
PP Ojha,2008,2
VS Yeligati,2008,2
H Das,2008,2
Shoaib Akhtar,2008,2
DW Steyn,2008,2
AB Dinda,2008,2
DP Vijaykumar,2008,1
PM Sarvesh Kumar,2008,1
S Anirudha,2008,1
Iqbal Abdulla,2008,1
A Mukund,2008,0
L Balaji,2008,0
M Muralitharan,2008,0
U Kaul,2008,0
S Sreesanth,2008,0
Abdur Razzak,2008,0
MM Patel,2008,0
ML Hayden,2009,571
AC Gilchrist,2009,486
AB de Villiers,2009,459
SK Raina,2009,433
TM Dilshan,2009,414
JP Duminy,2009,372
HH Gibbs,2009,371
BJ Hodge,2009,365
SR Tendulkar,2009,363
JH Kallis,2009,360
RG Sharma,2009,354
Yuvraj Singh,2009,340
MS Dhoni,2009,332
KC Sangakkara,2009,332
RA Jadeja,2009,293
KD Karthik,2009,288
G Gambhir,2009,284
BB McCullum,2009,278
LRPL Taylor,2009,274
R Dravid,2009,271
YK Pathan,2009,261
A Symonds,2009,248
V Kohli,2009,246
TL Suman,2009,237
ST Jayasuriya,2009,219
DPMD Jayawardene,2009,219
DJ Bravo,2009,217
DR Smith,2009,215
GC Smith,2009,208
IK Pathan,2009,196
V Sehwag,2009,195
AM Nayar,2009,191
CH Gayle,2009,184
SC Ganguly,2009,183
S Badrinath,2009,177
RV Uthappa,2009,175
NV Ojha,2009,168
MK Pandey,2009,167
MN van Wyk,2009,163
DA Warner,2009,163
AM Rahane,2009,143
MV Boucher,2009,143
PA Patel,2009,142
SM Katich,2009,141
RS Bopara,2009,138
Y Venugopal Rao,2009,124
K Goel,2009,124
RE van der Merwe,2009,122
S Sohal,2009,115
SK Warne,2009,108
RJ Quiney,2009,103
SA Asnodkar,2009,98
JA Morkel,2009,97
DJ Hussey,2009,93
KP Pietersen,2009,92
JDP Oram,2009,88
Harbhajan Singh,2009,84
LR Shukla,2009,83
LA Carseldine,2009,80
AS Raut,2009,78
M Manhas,2009,75
WP Saha,2009,72
AA Bilakhia,2009,67
AB Agarkar,2009,66
DB Ravi Teja,2009,65
P Kumar,2009,65
A Flintoff,2009,62
M Vijay,2009,60
JD Ryder,2009,56
PR Shah,2009,53
SP Goswami,2009,53
Yashpal Singh,2009,47
R Vinay Kumar,2009,47
J Botha,2009,46
GJ Bailey,2009,45
S Dhawan,2009,40
LA Pomersbach,2009,40
AD Mascarenhas,2009,39
MC Henriques,2009,38
DL Vettori,2009,34
MM Patel,2009,33
PP Chawla,2009,31
WPUJC Vaas,2009,30
WA Mota,2009,30
B Lee,2009,28
A Mishra,2009,26
RR Powar,2009,23
RJ Harris,2009,21
M Kartik,2009,21
MF Maharoof,2009,21
Joginder Sharma,2009,20
SB Jakati,2009,20
Y Nagar,2009,20
VVS Laxman,2009,19
R Bishnoi,2009,19
YV Takawale,2009,18
NK Patel,2009,18
B Akhil,2009,17
I Sharma,2009,16
AD Mathews,2009,16
A Kumble,2009,16
M Rawat,2009,16
W Jaffer,2009,15
GR Napier,2009,15
SB Styris,2009,14
SS Tiwary,2009,13
MS Gony,2009,13
RR Raje,2009,12
A Chopra,2009,11
T Henderson,2009,11
D du Preez,2009,10
DS Kulkarni,2009,9
SK Trivedi,2009,9
MK Tiwary,2009,9
RP Singh,2009,8
Z Khan,2009,8
R Ashwin,2009,8
M Muralitharan,2009,8
SM Harwood,2009,8
M Morkel,2009,8
R Bhatia,2009,8
AN Ghosh,2009,7
SS Shaikh,2009,6
PC Valthaty,2009,6
SD Chitnis,2009,6
PJ Sangwan,2009,6
S Sreesanth,2009,5
FH Edwards,2009,4
L Balaji,2009,4
Kamran Khan,2009,3
AB McDonald,2009,3
AB Dinda,2009,2
SB Bangar,2009,2
Mashrafe Mortaza,2009,2
Mohammad Ashraful,2009,2
T Thushara,2009,2
PP Ojha,2009,1
Shoaib Ahmed,2009,1
KV Sharma,2009,1
Pankaj Singh,2009,1
T Kohli,2009,1
A Singh,2009,1
A Nehra,2009,1
C Nanda,2009,0
SL Malinga,2009,0
KP Appanna,2009,0
L Ronchi,2009,0
DW Steyn,2009,0
TM Srivastava,2009,0
BAW Mendis,2009,0
SR Tendulkar,2010,615
JH Kallis,2010,566
SK Raina,2010,520
SC Ganguly,2010,493
M Vijay,2010,458
DPMD Jayawardene,2010,443
A Symonds,2010,429
SS Tiwary,2010,417
RG Sharma,2010,403
