match_id,toss_winner,toss_name,match_winner,match_outcome
335987,Royal Challengers Bangalore,field,Kolkata Knight Riders,Lost
335988,Chennai Super Kings,bat,Chennai Super Kings,Won
335989,Rajasthan Royals,bat,Delhi Daredevils,Lost
335990,Mumbai Indians,bat,Royal Challengers Bangalore,Lost
335991,Deccan Chargers,bat,Kolkata Knight Riders,Lost
335992,Kings XI Punjab,bat,Rajasthan Royals,Lost
335993,Deccan Chargers,bat,Delhi Daredevils,Lost
335994,Mumbai Indians,field,Chennai Super Kings,Lost
335995,Rajasthan Royals,field,Rajasthan Royals,Won
335996,Mumbai Indians,field,Kings XI Punjab,Lost
335997,Rajasthan Royals,field,Rajasthan Royals,Won
335998,Kolkata Knight Riders,bat,Chennai Super Kings,Lost
335999,Deccan Chargers,field,Deccan Chargers,Won
336000,Delhi Daredevils,bat,Kings XI Punjab,Lost
336001,Chennai Super Kings,bat,Chennai Super Kings,Won
336002,Kolkata Knight Riders,bat,Mumbai Indians,Lost
336003,Royal Challengers Bangalore,field,Delhi Daredevils,Lost
336004,Kings XI Punjab,field,Kings XI Punjab,Won
336005,Rajasthan Royals,bat,Rajasthan Royals,Won
336006,Chennai Super Kings,bat,Delhi Daredevils,Lost
336007,Deccan Chargers,bat,Royal Challengers Bangalore,Lost
336008,Kings XI Punjab,bat,Kings XI Punjab,Won
336009,Delhi Daredevils,field,Mumbai Indians,Lost
336010,Chennai Super Kings,bat,Rajasthan Royals,Lost
336011,Kings XI Punjab,field,Kings XI Punjab,Won
336012,Deccan Chargers,field,Deccan Chargers,Won
336013,Mumbai Indians,field,Mumbai Indians,Won
336014,Chennai Super Kings,field,Chennai Super Kings,Won
336015,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
336016,Rajasthan Royals,field,Rajasthan Royals,Won
336017,Mumbai Indians,field,Mumbai Indians,Won
336018,Kings XI Punjab,field,Chennai Super Kings,Lost
336019,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
336020,Rajasthan Royals,field,Rajasthan Royals,Won
336021,Royal Challengers Bangalore,bat,Kings XI Punjab,Lost
336022,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
336023,Mumbai Indians,field,Mumbai Indians,Won
336024,Rajasthan Royals,field,Kings XI Punjab,Lost
336025,Deccan Chargers,field,Delhi Daredevils,Lost
336026,Mumbai Indians,field,Mumbai Indians,Won
336027,Delhi Daredevils,bat,Kings XI Punjab,Lost
336028,Royal Challengers Bangalore,field,Rajasthan Royals,Lost
336029,Deccan Chargers,field,Mumbai Indians,Lost
336030,Kolkata Knight Riders,bat,Chennai Super Kings,Lost
336031,Delhi Daredevils,field,Delhi Daredevils,Won
336032,Rajasthan Royals,field,Rajasthan Royals,Won
336033,Mumbai Indians,field,Kings XI Punjab,Lost
336034,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
336036,Kings XI Punjab,field,Kings XI Punjab,Won
336037,Delhi Daredevils,field,Delhi Daredevils,Won
336038,Rajasthan Royals,bat,Rajasthan Royals,Won
336039,Deccan Chargers,field,Royal Challengers Bangalore,Lost
336040,Kings XI Punjab,bat,Kolkata Knight Riders,Lost
336041,Rajasthan Royals,field,Rajasthan Royals,Won
336042,Deccan Chargers,bat,Chennai Super Kings,Lost
336043,Delhi Daredevils,field,Rajasthan Royals,Lost
336044,Kings XI Punjab,bat,Chennai Super Kings,Lost
336045,Rajasthan Royals,field,Rajasthan Royals,Won
392186,Chennai Super Kings,field,Mumbai Indians,Lost
392187,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
392188,Delhi Daredevils,field,Delhi Daredevils,Won
392189,Kolkata Knight Riders,bat,Deccan Chargers,Lost
392190,Chennai Super Kings,bat,Chennai Super Kings,Won
392191,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
392193,Deccan Chargers,bat,Deccan Chargers,Won
392194,Delhi Daredevils,bat,Delhi Daredevils,Won
392195,Kolkata Knight Riders,field,Rajasthan Royals,Lost
392196,Royal Challengers Bangalore,bat,Kings XI Punjab,Lost
392197,Deccan Chargers,bat,Deccan Chargers,Won
392199,Royal Challengers Bangalore,bat,Delhi Daredevils,Lost
392200,Kings XI Punjab,bat,Kings XI Punjab,Won
392201,Deccan Chargers,field,Deccan Chargers,Won
392202,Mumbai Indians,bat,Mumbai Indians,Won
392203,Delhi Daredevils,bat,Rajasthan Royals,Lost
392204,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Lost
392205,Kings XI Punjab,bat,Kings XI Punjab,Won
392206,Delhi Daredevils,field,Delhi Daredevils,Won
392207,Rajasthan Royals,field,Chennai Super Kings,Lost
392208,Mumbai Indians,bat,Mumbai Indians,Won
392209,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
392210,Deccan Chargers,bat,Rajasthan Royals,Lost
392211,Delhi Daredevils,field,Chennai Super Kings,Lost
392212,Kolkata Knight Riders,bat,Kings XI Punjab,Lost
392213,Mumbai Indians,bat,Royal Challengers Bangalore,Lost
392214,Chennai Super Kings,bat,Chennai Super Kings,Won
392215,Kings XI Punjab,field,Rajasthan Royals,Lost
392216,Kolkata Knight Riders,bat,Delhi Daredevils,Lost
392217,Deccan Chargers,bat,Deccan Chargers,Won
392218,Rajasthan Royals,field,Rajasthan Royals,Won
392219,Chennai Super Kings,bat,Chennai Super Kings,Won
392220,Mumbai Indians,bat,Delhi Daredevils,Lost
392221,Kings XI Punjab,field,Kings XI Punjab,Won
392222,Rajasthan Royals,bat,Chennai Super Kings,Lost
392223,Mumbai Indians,bat,Mumbai Indians,Won
392224,Delhi Daredevils,field,Delhi Daredevils,Won
392225,Deccan Chargers,bat,Deccan Chargers,Won
392226,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
392227,Kings XI Punjab,bat,Mumbai Indians,Lost
392228,Deccan Chargers,field,Delhi Daredevils,Lost
392229,Chennai Super Kings,bat,Royal Challengers Bangalore,Lost
392230,Rajasthan Royals,bat,Rajasthan Royals,Won
392231,Kings XI Punjab,field,Kings XI Punjab,Won
392232,Mumbai Indians,bat,Chennai Super Kings,Lost
392233,Deccan Chargers,field,Deccan Chargers,Won
392234,Deccan Chargers,field,Kings XI Punjab,Lost
392235,Delhi Daredevils,bat,Delhi Daredevils,Won
392236,Chennai Super Kings,bat,Kolkata Knight Riders,Lost
392237,Delhi Daredevils,bat,Royal Challengers Bangalore,Lost
392238,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
392239,Chennai Super Kings,bat,Chennai Super Kings,Won
392240,Delhi Daredevils,field,Delhi Daredevils,Won
392241,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
392242,Deccan Chargers,field,Deccan Chargers,Won
392243,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
392244,Royal Challengers Bangalore,field,Deccan Chargers,Lost
419111,Deccan Chargers,field,Kolkata Knight Riders,Lost
419112,Mumbai Indians,bat,Mumbai Indians,Won
419113,Delhi Daredevils,field,Delhi Daredevils,Won
419114,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
419115,Deccan Chargers,bat,Deccan Chargers,Won
419116,Delhi Daredevils,field,Delhi Daredevils,Won
419117,Kings XI Punjab,bat,Royal Challengers Bangalore,Lost
419118,Chennai Super Kings,bat,Chennai Super Kings,Won
419119,Delhi Daredevils,field,Mumbai Indians,Lost
419120,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
419121,Delhi Daredevils,bat,Chennai Super Kings,Lost
419122,Kings XI Punjab,field,Deccan Chargers,Lost
419123,Rajasthan Royals,bat,Rajasthan Royals,Won
419124,Mumbai Indians,bat,Royal Challengers Bangalore,Lost
419125,Deccan Chargers,bat,Deccan Chargers,Won
419126,Chennai Super Kings,field,Kings XI Punjab,Lost
419127,Kolkata Knight Riders,bat,Mumbai Indians,Lost
419128,Chennai Super Kings,field,Royal Challengers Bangalore,Lost
419129,Kings XI Punjab,field,Rajasthan Royals,Lost
419130,Mumbai Indians,field,Mumbai Indians,Won
419131,Deccan Chargers,bat,Rajasthan Royals,Lost
419132,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
